model,threshold,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,aps_cost,cost_per_truck,fold,validation_rows,positive_rate,training_seconds
Fold 1,0.5,0.07684918347742556,0.4,0.128928283642224,0.5309766949152542,0.3500259851090019,10839,961,120,80,69610,5.800833333333333,1,12000,0.016666666666666666,34.26516080001602
Fold 2,0.5,0.051425030978934326,0.415,0.09151047409040794,0.5547029661016949,0.34187812519636984,10269,1531,117,83,73810,6.150833333333333,2,12000,0.016666666666666666,36.70781530000386
Fold 3,0.5,0.09007164790174002,0.44,0.14953271028037382,0.5650502118644067,0.35175274089718567,10911,889,112,88,64890,5.4075,3,12000,0.016666666666666666,42.997361699992325
Fold 4,0.5,0.0508274231678487,0.43,0.09090909090909091,0.5577396186440677,0.36877200883651345,10194,1606,114,86,73060,6.088333333333333,4,12000,0.016666666666666666,43.38058379999711
Fold 5,0.5,0.08718487394957983,0.415,0.1440972222222222,0.5485072033898306,0.32312332829517937,10931,869,117,83,67190,5.599166666666667,5,12000,0.016666666666666666,42.23286600000574
